GATE_START 2026-08-11T08:42:48+00:00 rev=a517402 scope=tail
== baseline: cargo check --workspace
   baseline OK
== candidates enumerated: 533  (inherent `pub fn` only; trait methods are out of scope)
   ORPHAN  crates/kayfabe-vmm-qemu/src/host.rs:121  plain_ram
   ORPHAN  crates/kayfabe-vmm-qemu/src/host.rs:133  device
   ORPHAN  crates/kayfabe-vmm-qemu/src/layout.rs:231  new
   ORPHAN  crates/kayfabe-vmm-qemu/src/layout.rs:242  saw
   ORPHAN  crates/kayfabe-vmm-qemu/src/layout.rs:254  census
   ORPHAN  crates/kayfabe-vmm-qemu/src/layout.rs:263  state
   ORPHAN  crates/kayfabe-vmm-qemu/src/layout.rs:269  forget
   ORPHAN  crates/kayfabe-vmm-qemu/src/layout.rs:276  clear
   ORPHAN  crates/kayfabe-vmm-qemu/src/layout.rs:282  stated_sections
   ORPHAN  crates/kayfabe-vmm-qemu/src/layout.rs:298  contiguous_runs
   ORPHAN  crates/kayfabe-vmm-qemu/src/layout.rs:308  contiguous_runs_ever
   ORPHAN  crates/kayfabe-vmm-qemu/src/layout.rs:344  backings_seen
   ORPHAN  crates/kayfabe-vmm-qemu/src/layout.rs:367  resolve
   ORPHAN  crates/kayfabe-vmm-qemu/src/lib.rs:253  passthrough
   ORPHAN  crates/kayfabe-vmm-qemu/src/lib.rs:292  shareable
   ORPHAN  crates/kayfabe-vmm-qemu/src/lib.rs:1158  install_tiered_window
   ORPHAN  crates/kayfabe-vmm-qemu/src/lib.rs:1394  page_size
   ORPHAN  crates/kayfabe-vmm-qemu/src/lib.rs:1400  slot_range
   ORPHAN  crates/kayfabe-vmm-qemu/src/lib.rs:1418  register_backing
   ORPHAN  crates/kayfabe-vmm-qemu/src/lib.rs:1444  resolve_region
   ORPHAN  crates/kayfabe-vmm-qemu/src/lib.rs:1451  tiers
   ORPHAN  crates/kayfabe-vmm-qemu/src/lib.rs:1485  assert_map_matches_the_kernel
   ORPHAN  crates/kayfabe-vmm-qemu/src/lib.rs:1593  advance
   ORPHAN  crates/kayfabe-vmm-qemu/src/lib.rs:1777  resolve_guest_ram
   ORPHAN  crates/kayfabe-vmm-qemu/src/lib.rs:1892  remove_window
   ORPHAN  crates/kayfabe-vmm-qemu/src/lib.rs:1981  audit
   ORPHAN  crates/kayfabe-vmm-qemu/src/mock_host.rs:147  new
   ORPHAN  crates/kayfabe-vmm-qemu/src/mock_host.rs:153  with_policy
   ORPHAN  crates/kayfabe-vmm-qemu/src/mock_host.rs:164  log
   ORPHAN  crates/kayfabe-vmm-qemu/src/mock_host.rs:170  irqs
   ORPHAN  crates/kayfabe-vmm-qemu/src/mock_host.rs:176  discard_disabled
   ORPHAN  crates/kayfabe-vmm-qemu/src/mock_host.rs:183  blockers
   ORPHAN  crates/kayfabe-vmm-qemu/src/mock_host.rs:189  listening
   ORPHAN  crates/kayfabe-vmm-qemu/src/mock_host.rs:200  live_regions
   ORPHAN  crates/kayfabe-vmm-qemu/src/mock_host.rs:213  region_bytes
   ORPHAN  crates/kayfabe-vmm-qemu/src/mock_host.rs:225  mint_foreign
   ORPHAN  crates/kayfabe-vmm-qemu/src/mock_host.rs:245  mint_foreign_slice
   ORPHAN  crates/kayfabe-vmm-qemu/src/mock_host.rs:289  mint_backed
