GATE_START 2026-08-11T08:47:19+00:00 rev=a517402 scope=devgsp
== baseline: cargo check --workspace
   baseline OK
== candidates enumerated: 458  (inherent `pub fn` only; trait methods are out of scope)
   crates/kayfabe-device/src/inittables.rs:1196  params_size
   crates/kayfabe-device/src/inittables.rs:1272  from_cmd
   crates/kayfabe-device/src/inittables.rs:1284  new
   crates/kayfabe-device/src/inittables.rs:1292  with_probe_arm
   crates/kayfabe-device/src/inittables.rs:1317  guest_firmware
   crates/kayfabe-device/src/inittables.rs:1323  wanted
   crates/kayfabe-device/src/lib.rs:187  contains
   crates/kayfabe-device/src/lib.rs:212  contains
   crates/kayfabe-device/src/lib.rs:616  pci_bar_len
   crates/kayfabe-device/src/lib.rs:630  fb_window
   crates/kayfabe-device/src/lib.rs:928  rom_for
   crates/kayfabe-device/src/lib.rs:1099  served_chain
   crates/kayfabe-device/src/nonstall.rs:116  non_stall_vector
   crates/kayfabe-device/src/nonstall.rs:192  gsp_stall_vector
   crates/kayfabe-device/src/osevent.rs:115  post
   crates/kayfabe-device/src/osevent.rs:144  new
   crates/kayfabe-device/src/osevent.rs:155  register
   crates/kayfabe-device/src/osevent.rs:191  retire
   crates/kayfabe-device/src/osevent.rs:212  batch
   crates/kayfabe-device/src/osevent.rs:296  note
   crates/kayfabe-device/src/osevent.rs:351  note_join
   crates/kayfabe-device/src/osevent.rs:422  new
   crates/kayfabe-device/src/plane.rs:256  new
   crates/kayfabe-device/src/plane.rs:903  nothing
   crates/kayfabe-device/src/plane.rs:1332  root
   crates/kayfabe-device/src/plane.rs:1354  fb_len
   crates/kayfabe-device/src/plane.rs:1413  new
   crates/kayfabe-device/src/plane.rs:1531  rom
   crates/kayfabe-device/src/plane.rs:1705  state_guard_for_test
   crates/kayfabe-device/src/plane.rs:1721  doorbell_reg
   crates/kayfabe-device/src/plane.rs:1755  bar_pde_log
   crates/kayfabe-device/src/plane.rs:1784  set_page_dir_log
   crates/kayfabe-device/src/plane.rs:1828  resolve_published_va
   crates/kayfabe-device/src/plane.rs:1864  read_published_va
   crates/kayfabe-device/src/plane.rs:1910  published_walk_trace
   crates/kayfabe-device/src/plane.rs:2114  ce_session
   crates/kayfabe-device/src/plane.rs:2160  gvas_pub_log
   crates/kayfabe-device/src/plane.rs:2165  set_policy
   crates/kayfabe-device/src/plane.rs:2492  fb_window_sample
   crates/kayfabe-device/src/plane.rs:2499  phase
   crates/kayfabe-device/src/plane.rs:2518  gsp_state
   crates/kayfabe-device/src/setpagedir.rs:248  new
   crates/kayfabe-device/src/setpagedir.rs:258  latest
   crates/kayfabe-device/src/setpagedir.rs:264  total
   crates/kayfabe-device/src/setpagedir.rs:275  refused
   crates/kayfabe-device/src/setpagedir.rs:286  valid
   crates/kayfabe-device/src/setpagedir.rs:291  publish
   crates/kayfabe-device/src/setpagedir.rs:297  refuse
   crates/kayfabe-device/src/setpagedir.rs:306  device_reset
   crates/kayfabe-device/src/setpagedir.rs:339  why
   crates/kayfabe-device/src/setpagedir.rs:365  new
   crates/kayfabe-device/src/setpagedir.rs:371  driver
