# tag	field	nvkvm-pv	driver-matrix	verdict
535.216.03	nv00de_alloc_size	4	4	agree
535.216.03	nvos46_size	56	56	agree
535.216.03	nvos46_status_off	48	48	agree
535.230.02	uvm_map_ext_size	1200	1200	agree
535.230.02	uvm_map_ext_fd_off	1184	1184	agree
535.230.02	uvm_sem_pool_size	1184	1184	agree
535.230.02	uvm_register_gpu_size	40	40	agree
535.230.02	uvm_register_gpu_fd_off	24	24	agree
535.230.02	uvm_register_gpu_status_off	36	36	agree
535.230.02	uvm_register_gpu_hclient_off	28	28	agree
535.230.02	uvm_register_gpu_hsmcpart_off	32	32	agree
535.230.02	chan_alloc_size	360	360	agree
535.230.02	vaspace_alloc_size	48	48	agree
535.230.02	mem_alloc_size	120	120	agree
535.230.02	nv00de_alloc_size	4	4	agree
535.230.02	nvos46_size	56	56	agree
535.230.02	nvos46_status_off	48	48	agree
535.247.01	uvm_map_ext_size	1200	1200	agree
535.247.01	uvm_map_ext_fd_off	1184	1184	agree
535.247.01	uvm_sem_pool_size	1184	1184	agree
535.247.01	uvm_register_gpu_size	40	40	agree
535.247.01	uvm_register_gpu_fd_off	24	24	agree
535.247.01	uvm_register_gpu_status_off	36	36	agree
535.247.01	uvm_register_gpu_hclient_off	28	28	agree
535.247.01	uvm_register_gpu_hsmcpart_off	32	32	agree
535.247.01	chan_alloc_size	360	360	agree
535.247.01	vaspace_alloc_size	48	48	agree
535.247.01	mem_alloc_size	120	120	agree
535.247.01	nv00de_alloc_size	4	4	agree
535.247.01	nvos46_size	56	56	agree
535.247.01	nvos46_status_off	48	48	agree
535.261.03	uvm_map_ext_size	1200	1200	agree
535.261.03	uvm_map_ext_fd_off	1184	1184	agree
535.261.03	uvm_sem_pool_size	1184	1184	agree
535.261.03	uvm_register_gpu_size	40	40	agree
535.261.03	uvm_register_gpu_fd_off	24	24	agree
535.261.03	uvm_register_gpu_status_off	36	36	agree
535.261.03	uvm_register_gpu_hclient_off	28	28	agree
535.261.03	uvm_register_gpu_hsmcpart_off	32	32	agree
535.261.03	chan_alloc_size	360	360	agree
535.261.03	vaspace_alloc_size	48	48	agree
535.261.03	mem_alloc_size	120	120	agree
535.261.03	nv00de_alloc_size	4	4	agree
535.261.03	nvos46_size	56	56	agree
535.261.03	nvos46_status_off	48	48	agree
535.274.02	uvm_map_ext_size	1200	1200	agree
535.274.02	uvm_map_ext_fd_off	1184	1184	agree
535.274.02	uvm_sem_pool_size	1184	1184	agree
535.274.02	uvm_register_gpu_size	40	40	agree
535.274.02	uvm_register_gpu_fd_off	24	24	agree
535.274.02	uvm_register_gpu_status_off	36	36	agree
535.274.02	uvm_register_gpu_hclient_off	28	28	agree
535.274.02	uvm_register_gpu_hsmcpart_off	32	32	agree
535.274.02	chan_alloc_size	360	360	agree
535.274.02	vaspace_alloc_size	48	48	agree
535.274.02	mem_alloc_size	120	120	agree
535.274.02	nv00de_alloc_size	4	4	agree
535.274.02	nvos46_size	56	56	agree
535.274.02	nvos46_status_off	48	48	agree
535.288.01	uvm_map_ext_size	1200	1200	agree
535.288.01	uvm_map_ext_fd_off	1184	1184	agree
535.288.01	uvm_sem_pool_size	1184	1184	agree
535.288.01	uvm_register_gpu_size	40	40	agree
535.288.01	uvm_register_gpu_fd_off	24	24	agree
535.288.01	uvm_register_gpu_status_off	36	36	agree
535.288.01	uvm_register_gpu_hclient_off	28	28	agree
535.288.01	uvm_register_gpu_hsmcpart_off	32	32	agree
535.288.01	chan_alloc_size	360	360	agree
535.288.01	vaspace_alloc_size	48	48	agree
535.288.01	mem_alloc_size	120	120	agree
535.288.01	nv00de_alloc_size	4	4	agree
535.288.01	nvos46_size	56	56	agree
535.288.01	nvos46_status_off	48	48	agree
535.309.01	uvm_map_ext_size	1200	1200	agree
535.309.01	uvm_map_ext_fd_off	1184	1184	agree
535.309.01	uvm_sem_pool_size	1184	1184	agree
535.309.01	uvm_register_gpu_size	40	40	agree
535.309.01	uvm_register_gpu_fd_off	24	24	agree
535.309.01	uvm_register_gpu_status_off	36	36	agree
535.309.01	uvm_register_gpu_hclient_off	28	28	agree
535.309.01	uvm_register_gpu_hsmcpart_off	32	32	agree
535.309.01	chan_alloc_size	360	360	agree
